Unnamed: 0,id,name,country_latitude,country_longitude,city,city_latitude,city_longitude,poi,poi_latitude,poi_longitude,category,subcategory,value_en,opening_hours,opening_hours_source,rating,reviews_count,price_level,google_place_id,match_confidence
2,3,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Biblioteca de Cataluña,41.381,2.16951,Cultural,library,national library,"Mo-Fr 09:00-20:00+; Sa 09:00-14:00+; PH,Su off",OSM,4.2,,,,0.93
33,34,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Esquerra de l'Eixample,41.3868,2.15205,Cultural,library,neighborhood,,,4.1,,,,
34,35,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Can Mariner (Barcelona),41.4312,2.16056,Cultural,library,masia,"Mo,Fr 15:30-20:00; Tu,Th 09:30-13:30,15:30-20:00; We 09:30-20:00; Sa 10:00-14:00",OSM,4.1,,,,0.65
110,111,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Archivo Histórico de la Ciudad de Barcelona,41.3841,2.17567,Cultural,library,archive,,,4.3,,,,
111,112,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Arxiu Diocesà de Barcelona,41.3837,2.17534,Cultural,library,episcopal archive,Mo off; Tu-We 18:00-01:00; Th 18:00-02:00; Fr 18:00-03:00; Sa 12:30-03:00; Su 17:30-01:00,OSM,4.2,,,,0.75
119,120,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,CRAI Biblioteca de Lletres,41.3864,2.16372,Cultural,library,campus,,,4.0,,,,
150,151,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Cooperativa La Fraternitat,41.3792,2.18882,Cultural,library,building,"Mo-We 09:00-15:15; Th-Fr 09:00-15:15, 18:00-20:15; Sa 09:00-13:00",OSM,4.1,,,,0.55
153,154,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Can Saladrigas,41.4015,2.20422,Cultural,library,building,,,4.6,,,,
155,156,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Escola Professional de la Dona,41.3866,2.17617,Cultural,library,school,Mo-Su 09:00-15:30,OSM,4.4,,,,0.56
167,168,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Punto interés,41.3844,2.17183,Cultural,library,monument,Mo-Sa 11:00-21:00,OSM,3.9,,,,0.48
197,198,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Facultad de Matemáticas y Estadística,41.3835,2.11581,Cultural,library,faculty,,,4.5,,,,
261,262,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Biblioteca Poblenou-Manuel Arranz,41.4015,2.20427,Cultural,library,public library,,,4.2,,,,
275,276,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Biblioteca del Pabellón de la República,41.4307,2.15129,Cultural,library,public library,,,4.4,,,,
277,278,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Museu Clarà,41.3998,2.12961,Cultural,library,museum,"Mo-Tu 15:30-20:30; We-Th 10:00-14:00, 15:30-20:30; Fr 15:30-20:30; Sa 10:00-14:00",OSM,4.3,,,,0.62
292,293,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Archivo General de la Corona de Aragón,41.3947,2.18617,Cultural,library,archive,,,4.6,,,,
301,302,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Calle de Avinyó,41.3809,2.17768,Cultural,library,street,,,4.1,,,,
317,318,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Dipòsit de les Aigües del Parc de la Ciutadella,41.3904,2.18892,Cultural,library,academic library building,,,4.6,,,,
350,351,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Facultad de Informática de Barcelona,41.3878,2.11247,Cultural,library,faculty,,,4.8,,,,
369,370,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Palau Mercaders,41.386,2.17698,Cultural,arts_centre,palace,,,4.3,,,,
385,387,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Lluïsos de Gràcia,41.4072,2.15535,Cultural,arts_centre,event venue,"Mo-Fr 07:00-16:00; Mo-We 18:00-23:00; Th,Fr 18:00-01:30; Sa 12:00-16:00",OSM,4.0,,,,0.32
395,397,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,El Parc i la Llacuna del Poblenou,41.3993,2.19097,Cultural,arts_centre,neighborhood,Mo-Fr 06:00-23:00; Sa 06:00-00:00; Su 06:00-22:00,OSM,4.5,,,,0.06
400,402,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Carrer de la Comtessa de Sobradiel,41.3811,2.17816,Cultural,arts_centre,street,,,4.5,,,,
402,404,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Real Círculo Artístico de Barcelona,41.3845,2.17451,Cultural,arts_centre,society,Mo-Sa 10:00-20:30,OSM,4.2,,,,0.58
449,451,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Arts Santa Mònica,41.3772,2.17567,Cultural,arts_centre,cultural center,10:00-20:00,OSM,4.7,,,,0.39
457,459,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Nave Ivanow,41.42,2.19011,Cultural,arts_centre,building,,,4.1,,,,
458,460,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Hangar (Centre de Producció d'Arts Visuals),41.4086,2.19944,Cultural,arts_centre,cultural center,,,4.5,,,,
489,491,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Parque Güell,41.4136,2.15294,Parque,conservatory,sculpture garden,,,4.8,,,,
560,562,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Font de Sant Just,41.3829,2.17848,Fuente,fountain,fountain,Mo-Sa 08:00-20:00; Su off,OSM,4.3,,,,0.47
622,624,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Plaça de la Font Castellana,41.415,2.16639,Fuente,fountain,square,"Tu-Th,Su 13:00-16:00; Fr-Sa 13:00-16:00,20:00-01:00",OSM,4.2,,,,0.43
642,644,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Fuente del Genio Catalán,41.3829,2.18353,Fuente,fountain,sculpture,,,3.9,,,,
673,675,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Font de la Portaferrissa,41.383,2.1719,Fuente,fountain,building,,,4.2,,,,
700,702,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Fuente de Canaletas,41.3853,2.17018,Fuente,fountain,fountain,,,4.0,,,,
724,726,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Pati dels Tarongers,41.3832,2.1762,Punto de interés,attraction,palace,Mo-Su 11:00-00:00,OSM,4.3,,,,0.5
732,734,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Font de Santa Anna,41.3845,2.1742,Fuente,fountain,building,"Mo-Fr 09:30-18:30; Sa 09:30-17:15; Su,PH 14:00-17:00",OSM,4.7,,,,0.62
734,736,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,A Narcís Oller,41.3972,2.15546,Fuente,fountain,sculpture,Mo-Th 14:00-22:00; Fr 14:00-23:00; Sa 13:00-23:00; Su 13:00-22:00,OSM,3.6,,,,0.43
747,749,Spain,39.3261,-4.83798,Barcelona,41.3828939,2.1774322,Casa de l'Ardiaca,41.3841,2.17567,Histórico,castle,building,"Mo-Fr 09:30-18:30; Sa 09:30-17:15; Su,PH 14:00-17:00",OSM,4.9,,,,0.42
