id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str,content_base,content_length,has_content_text,cluster_geo,has_cluster_geo,visit_duration_filled,rating_filled,match_confidence_filled,score_norm,rating_norm,match_confidence_norm,visit_duration_norm,quality_signal,similarity_score
3,Biblioteca de Cataluña,cultural,library,41.381,2.16951,Barcelona,national library,4.2,0.93,"Mo-Fr 09:00-20:00+; Sa 09:00-14:00+; PH,Su off",OSM,True,False,True,True,3.219,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,biblioteca de cataluña cultural library national library culture|has_schedule|indoor,84,True,1,True,60,4.2,0.93,0.744063818232037,0.6666666666666666,0.9255319148936172,0.45454545454545453,0.751935,
34,Esquerra de l'Eixample,cultural,library,41.3868,2.15205,Barcelona,neighborhood,4.1,0.5037655860349127,,,False,False,False,False,2.5679602244389024,False,60,['culture' 'indoor'],culture|indoor,esquerra de l'eixample cultural library neighborhood culture|indoor,67,True,3,True,60,4.1,0.5037655860349127,0.40401354407657003,0.6190476190476188,0.47209104897331144,0.45454545454545453,0.467984,
35,Can Mariner (Barcelona),cultural,library,41.4312,2.16056,Barcelona,masia,4.1,0.65,"Mo,Fr 15:30-20:00; Tu,Th 09:30-13:30,15:30-20:00; We 09:30-20:00; Sa 10:00-14:00",OSM,True,False,True,True,3.0649999999999995,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,can mariner (barcelona) cultural library masia culture|has_schedule|indoor,74,True,0,True,60,4.1,0.65,0.6636267325335342,0.6190476190476188,0.6276595744680852,0.45454545454545453,0.647087,
111,Archivo Histórico de la Ciudad de Barcelona,cultural,library,41.3841,2.17567,Barcelona,archive,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,['culture' 'indoor'],culture|indoor,archivo histórico de la ciudad de barcelona cultural library archive culture|indoor,83,True,1,True,60,4.3,0.5037655860349127,0.466169473934504,0.7142857142857141,0.47209104897331144,0.45454545454545453,0.529087,
112,Arxiu Diocesà de Barcelona,cultural,library,41.3837,2.17534,Barcelona,episcopal archive,4.2,0.75,Mo off; Tu-We 18:00-01:00; Th 18:00-02:00; Fr 18:00-03:00; Sa 12:30-03:00; Su 17:30-01:00,OSM,True,False,True,True,3.165,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,arxiu diocesà de barcelona cultural library episcopal archive culture|has_schedule|indoor,89,True,1,True,60,4.2,0.75,0.715858606363731,0.6666666666666666,0.7340425531914894,0.45454545454545453,0.706288,
120,CRAI Biblioteca de Lletres,cultural,library,41.3864,2.16372,Barcelona,campus,4.0,0.5037655860349127,,,False,False,False,False,2.5084602244389025,False,60,['culture' 'indoor'],culture|indoor,crai biblioteca de lletres cultural library campus culture|indoor,65,True,1,True,60,4.0,0.5037655860349127,0.37293557914760317,0.5714285714285714,0.47209104897331144,0.45454545454545453,0.437432,
151,Cooperativa La Fraternitat,cultural,library,41.3792,2.18882,Barcelona,building,4.1,0.55,"Mo-We 09:00-15:15; Th-Fr 09:00-15:15, 18:00-20:15; Sa 09:00-13:00",OSM,True,False,True,True,3.0349999999999997,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,cooperativa la fraternitat cultural library building culture|has_schedule|indoor,80,True,1,True,60,4.1,0.55,0.6479571703844753,0.6190476190476188,0.5212765957446809,0.45454545454545453,0.621728,
154,Can Saladrigas,cultural,library,41.4015,2.20422,Barcelona,building,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,['culture' 'indoor'],culture|indoor,can saladrigas cultural library building culture|indoor,55,True,6,True,60,4.6,0.5037655860349127,0.5594033687214048,0.8571428571428569,0.47209104897331144,0.45454545454545453,0.620741,
156,Escola Professional de la Dona,cultural,library,41.3866,2.17617,Barcelona,school,4.4,0.56,Mo-Su 09:00-15:30,OSM,True,False,True,True,3.248,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,escola professional de la dona cultural library school culture|has_schedule|indoor,82,True,1,True,60,4.4,0.56,0.7592110616427942,0.761904761904762,0.5319148936170213,0.45454545454545453,0.72579,
168,Punto interés,cultural,library,41.3844,2.17183,Barcelona,monument,3.9,0.48,Mo-Sa 11:00-21:00,OSM,True,False,True,True,2.874,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,punto interés cultural library monument culture|has_schedule|indoor,67,True,1,True,60,3.9,0.48,0.5638638535178592,0.5238095238095237,0.4468085106382979,0.45454545454545453,0.536292,
198,Facultad de Matemáticas y Estadística,cultural,library,41.3835,2.11581,Barcelona,faculty,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,60,['culture' 'indoor'],culture|indoor,facultad de matemáticas y estadística cultural library faculty culture|indoor,77,True,2,True,60,4.5,0.5037655860349127,0.528325403792438,0.8095238095238094,0.47209104897331144,0.45454545454545453,0.59019,
262,Biblioteca Poblenou-Manuel Arranz,cultural,library,41.4015,2.20427,Barcelona,public library,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,60,['culture' 'indoor'],culture|indoor,biblioteca poblenou-manuel arranz cultural library public library culture|indoor,80,True,6,True,60,4.2,0.5037655860349127,0.4350915090055371,0.6666666666666666,0.47209104897331144,0.45454545454545453,0.498535,
276,Biblioteca del Pabellón de la República,cultural,library,41.4307,2.15129,Barcelona,public library,4.4,0.5037655860349127,,,False,False,False,False,2.746460224438903,False,60,['culture' 'indoor'],culture|indoor,biblioteca del pabellón de la república cultural library public library culture|indoor,86,True,0,True,60,4.4,0.5037655860349127,0.4972474388634711,0.761904761904762,0.47209104897331144,0.45454545454545453,0.559638,
278,Museu Clarà,cultural,library,41.3998,2.12961,Barcelona,museum,4.3,0.62,"Mo-Tu 15:30-20:30; We-Th 10:00-14:00, 15:30-20:30; Fr 15:30-20:30; Sa 10:00-14:00",OSM,True,False,True,True,3.1959999999999997,True,60,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,museu clarà cultural library museum culture|has_schedule|indoor,63,True,2,True,60,4.3,0.62,0.7320504872510918,0.7142857142857141,0.5957446808510639,0.45454545454545453,0.707163,
293,Archivo General de la Corona de Aragón,cultural,library,41.3947,2.18617,Barcelona,archive,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,['culture' 'indoor'],culture|indoor,archivo general de la corona de aragón cultural library archive culture|indoor,78,True,6,True,60,4.6,0.5037655860349127,0.5594033687214048,0.8571428571428569,0.47209104897331144,0.45454545454545453,0.620741,
302,Calle de Avinyó,cultural,library,41.3809,2.17768,Barcelona,street,4.1,0.5037655860349127,,,False,False,False,False,2.5679602244389024,False,60,['culture' 'indoor'],culture|indoor,calle de avinyó cultural library street culture|indoor,54,True,1,True,60,4.1,0.5037655860349127,0.40401354407657003,0.6190476190476188,0.47209104897331144,0.45454545454545453,0.467984,
318,Dipòsit de les Aigües del Parc de la Ciutadella,cultural,library,41.3904,2.18892,Barcelona,academic library building,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,['culture' 'indoor'],culture|indoor,dipòsit de les aigües del parc de la ciutadella cultural library academic library building culture|indoor,105,True,6,True,60,4.6,0.5037655860349127,0.5594033687214048,0.8571428571428569,0.47209104897331144,0.45454545454545453,0.620741,
351,Facultad de Informática de Barcelona,cultural,library,41.3878,2.11247,Barcelona,faculty,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,['culture' 'indoor'],culture|indoor,facultad de informática de barcelona cultural library faculty culture|indoor,76,True,2,True,60,4.8,0.5037655860349127,0.6215592985793386,0.9523809523809521,0.47209104897331144,0.45454545454545453,0.681844,
370,Palau Mercaders,cultural,arts_centre,41.386,2.17698,Barcelona,palace,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,75,['culture' 'indoor'],culture|indoor,palau mercaders cultural arts_centre palace culture|indoor,58,True,1,True,75,4.3,0.5037655860349127,0.466169473934504,0.7142857142857141,0.47209104897331144,0.5909090909090909,0.529087,
387,Lluïsos de Gràcia,cultural,arts_centre,41.4072,2.15535,Barcelona,event venue,4.0,0.32,"Mo-Fr 07:00-16:00; Mo-We 18:00-23:00; Th,Fr 18:00-01:30; Sa 12:00-16:00",OSM,True,False,True,True,2.896,True,75,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,lluïsos de gràcia cultural arts_centre event venue culture|has_schedule|indoor,78,True,3,True,75,4.0,0.32,0.5753548657605023,0.5714285714285714,0.2765957446808511,0.5909090909090909,0.529559,
397,El Parc i la Llacuna del Poblenou,cultural,arts_centre,41.3993,2.19097,Barcelona,neighborhood,4.5,0.06,Mo-Fr 06:00-23:00; Sa 06:00-00:00; Su 06:00-22:00,OSM,True,False,True,True,3.1679999999999997,True,75,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,el parc i la llacuna del poblenou cultural arts_centre neighborhood culture|has_schedule|indoor,95,True,6,True,75,4.5,0.06,0.7174255625786367,0.8095238095238094,0.0,0.5909090909090909,0.632836,
402,Carrer de la Comtessa de Sobradiel,cultural,arts_centre,41.3811,2.17816,Barcelona,street,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,75,['culture' 'indoor'],culture|indoor,carrer de la comtessa de sobradiel cultural arts_centre street culture|indoor,77,True,1,True,75,4.5,0.5037655860349127,0.528325403792438,0.8095238095238094,0.47209104897331144,0.5909090909090909,0.59019,
404,Real Círculo Artístico de Barcelona,cultural,arts_centre,41.3845,2.17451,Barcelona,society,4.2,0.58,Mo-Sa 10:00-20:30,OSM,True,False,True,True,3.114,True,75,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,real círculo artístico de barcelona cultural arts_centre society culture|has_schedule|indoor,92,True,1,True,75,4.2,0.58,0.6892203507103307,0.6666666666666666,0.5531914893617021,0.5909090909090909,0.663178,
451,Arts Santa Mònica,cultural,arts_centre,41.3772,2.17567,Barcelona,cultural center,4.7,0.39,10:00-20:00,OSM,True,False,True,True,3.407,True,75,['culture' 'has_schedule' 'indoor'],culture|has_schedule|indoor,arts santa mònica cultural arts_centre cultural center culture|has_schedule|indoor,82,True,1,True,75,4.7,0.39,0.8422597410328065,0.9047619047619047,0.3510638297872341,0.5909090909090909,0.784206,
459,Nave Ivanow,cultural,arts_centre,41.42,2.19011,Barcelona,building,4.1,0.5037655860349127,,,False,False,False,False,2.5679602244389024,False,75,['culture' 'indoor'],culture|indoor,nave ivanow cultural arts_centre building culture|indoor,56,True,4,True,75,4.1,0.5037655860349127,0.40401354407657003,0.6190476190476188,0.47209104897331144,0.5909090909090909,0.467984,
460,Hangar (Centre de Producció d'Arts Visuals),cultural,arts_centre,41.4086,2.19944,Barcelona,cultural center,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,75,['culture' 'indoor'],culture|indoor,hangar (centre de producció d'arts visuals) cultural arts_centre cultural center culture|indoor,95,True,6,True,75,4.5,0.5037655860349127,0.528325403792438,0.8095238095238094,0.47209104897331144,0.5909090909090909,0.59019,
491,Parque Güell,park,conservatory,41.4136,2.15294,Barcelona,sculpture garden,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,['culture' 'indoor'],culture|indoor,parque güell park conservatory sculpture garden culture|indoor,62,True,3,True,60,4.8,0.5037655860349127,0.6215592985793386,0.9523809523809521,0.47209104897331144,0.45454545454545453,0.681844,
562,Font de Sant Just,fountain,fountain,41.3829,2.17848,Barcelona,fountain,4.3,0.47,Mo-Sa 08:00-20:00; Su off,OSM,True,False,True,True,3.151,True,10,['has_schedule' 'outdoor' 'quick_visit' 'urban'],has_schedule|outdoor|quick_visit|urban,font de sant just fountain fountain fountain has_schedule|outdoor|quick_visit|urban,83,True,1,True,10,4.3,0.47,0.7085461440275034,0.7142857142857141,0.43617021276595747,0.0,0.669125,
